term	translation
Demons  Демоните
Whip Demon  Демона с камшика
Reinforcements  подкрепленията
Peter Parker	Питър Паркър
Pete	Пийт
Spider-Man	Спайдърмен
Mary Jane Watson	Мери Джейн Уотсън
Miles Morales	Майлс Моралес
Aunt May	Леля Мей
Yuri Watanabe	Юри Ватанабе
Jefferson Davis	Джеферсън Дейвис
Rio Morales	Рио Моралес
Silver Sable	Силвър Сейбъл
Otto Octavius	Ото Октавиус
Doc Ock	Док Ок
Wilson Fisk	Уилсън Фиск
Kingpin	Кингпин
Martin Li	Мартин Ли
Mr. Negative	Мистър Негатив
Norman Osborn	Норман Озбърн
Max Dillon	Макс Дилън
Electro	Електро
Aleksei Sytsevich	Алексей Сицевич
Rhino	Носорог
Mac Gargan	Мак Гарган
Scorpion	Скорпион
Adrian Toomes	Ейдриън Туумс
Vulture	Лешояд
Herman Schultz	Херман Шулц
Shocker	Шокър
Felicia Hardy	Фелиция Харди
Black Cat	Черната котка
Taskmaster	Таскмастър
Tombstone	Туумстоун
All Bark Ernie	Лаещия Ърни
Screwball	Скрубол
CEO	Главен изпълнителен директор
Scientist	Учен
Engineer	Инженер
Detective	Детектив
Officer	Офицер
Agent	Агент
Technician	Техник
Security Guard	Охранител
Captain	Капитан
Chief	Началник
Sergeant	Сержант
Dispatch	Диспечер
Head of Security	Ръководител на охраната
Mercenary	Наемник
Lab Assistant	Лабораторен асистент
Lead Scientist	Водещ учен
Intern	Стажант
First Responder	Екип за спешна помощ
NYPD	НЙПД
F.E.A.S.T.	П.И.Р.
Oscorp	Оскорп
Sable International	Сейбъл Интернешънъл
Fisk Industries	Фиск Индъстрийс
Inner Demons	Вътрешните демони
The Sinister Six	Зловещата шесторка
The Maggia	Маджия
Ryker's Prisoners	Затворниците от Райкър
Roxxon	Роксън
Raft	Рафт
Harlem	Харлем
Upper West Side	Ъпър Уест Сайд
Central Park	Сентръл Парк
Upper East Side	Ъпър Ийст Сайд
Hell's Kitchen	Хелс Китчън
Midtown	Мидтаун
Greenwich	Гринуич
Chinatown	Чайнатаун
Financial District	Финансов район
Web Shooters	Паяжинни стрелци
Impact Web	Ударна паяжина
Spider-Drone	Спайдър-дрон
Electric Web	Електрическа паяжина
Web Bomb	Паяжинна бомба
Trip Mine	Примка-мина
Concussive Blast	Звукова вълна
Suspension Matrix	Гравитационна матрица
Map	Карта
Skills	Умения
Upgrade	Подобрение
Mission	Мисия
Focus	Фокус
Focus Bar	Лента за Фокус
Finisher	Финален удар
Dodge	Избягване
Counter	Контра
Stealth Attack	Скрит удар
Aerial Attack	Въздушен удар
Ground Pound	Удар в земята
Web Strike	Мрежов удар
Skill Point	Точка за умение
Upgrade Point	Точка за подобрение
Combo	Комбо
Web Throw	Замятане с паяжина
Yank and Throw	Придърпване и хвърляне
Pistol and Baton Rip	Разоръжаване: Пистолет/Палка
Perfect Dodge	Идеално избягване
Perfect Hit	Идеален удар
Payback	Възмездие
Chain Finisher	Верижно довършване
Air Marshall	Въздушен маршал
Swing Kick	Ритник със замах
Point Launch	Точково изстрелване
Research Tokens	Изследователски жетони
Landmark Tokens	Жетони за забележителности
Base Tokens	Базови жетони
Crime Tokens	Жетони за престъпления
Challenge Tokens	Жетони за предизвикателства
Backpack Tokens	Жетони за раници
Home Theater	Домашно кино
Spidey	Спайди
Web-Head	Паяжинко
Webhead	Паяжинко
Webslinger	Мрежохвъргача
The Wall-Crawler	Пълзящия по стените
Advanced Suit	Усъвършенстван костюм
Classic Suit	Класически костюм
Noir Suit	Ноар костюм
Spider-Armor	Спайдър-броня
Stealth	Стелт костюм
Spirit Spider	Призрачен паяк
Web Blossom	Мрежов разцвет
Battle Focus	Бойна концентрация
Sound of Silence	Звукът на тишината
Quip	Шега
GR-27	ГР-27
Genetic Reconstitution	Генетична реконституция
Devil's Breath	Дяволски дъх
PhD	д-р
MD	д-р
Pigeon whisperer	Повелителят на гълъбите
Web	Паяжина
New York	Ню Йорк
Manhattan	Манхатън
cops	ченгетата
police	полицията
Thugs	бандитите
Brutes	здравеняци
n/a	няма
N/A	няма
Street	Стрийт
Avenue	Авеню
Boulevard	Булевард
Bridge	мост
Park	Парк
okay	добре
yeah	да
guys	хора
MJ	Ем Джей
Sable	Сейбъл
The Demons	Демоните
Brute	Здравеняк
Minion	Привърженик
Webbed up	Омотан в паяжина
Stunned	Зашеметен
Knocked out	Нокаутиран
Takedown	Поваляне
Gadget	Джаджа
Suit Power	Сила на костюма
Suit Mod	Модификация на костюма
Secret Identity	Тайна самоличност
Friendly Neighborhood	Приятелският съсед
Tower	Кула
Backpack	Раница
Landmark	Забележителност
Research Station	Изследователска станция
Hideout	Скривалище
Crime in progress	Престъпление в ход
Main Mission	Основна мисия
Side Mission	Странична мисия
The City That Never Sleeps	Градът, който никога не спи
Silver Lining	Сребърна нишка
Turf Wars	Война за територия
The Heist	Обирът
Target	Цел
Hostage	Заложник
Evidence	Доказателство
Checkpoint	Контролен пункт
Reinforcements	Подкрепления
Inventory	Инвентар
Gadget	Джаджа
Health	Здраве
Wave	Вълна
Ambush	Засада
Infiltration	Проникване
Distraction	Отвличане на вниманието
Melee	Ръкопашен бой
Ranged	От разстояние
Scanner	Скенер
Signal	Сигнал
Tracking	Проследяване
Explosive	Експлозив
Trigger	Спусък
Detonator	Детонатор
Secure the area	Обезопаси района
Neutralize	Неутрализирай
Search	Претърси
Escort	Ескортирай
Protect	Защити
Intercept	Прехвани
Follow	Последвай
Tail	Проследи
Hack	Хакирай
Disable	Деактивирай
Shutdown	Изключване
Reboot	Рестартиране
Access denied	Достъпът отказан
Authorized	Оторизиран
Encrypted	Криптиран
Frequency	Честота
Voltage	Напрежение
Circuit	Верига
Relay	Реле
Database	База данни
File	Файл
Entry	Запис
Log	Дневник
Audio	Аудио
Record	Запис
Playback	Възпроизвеждане
Analysis	Анализ
Scanning	Сканиране
Download	Изтегляне
Upload	Качване
Sync	Синхронизиране
Target locked	Целта е фиксирана
Engage	Атакувай
Fall back	Отстъпи
Cover	Прикритие
Backup	Подкрепление
Status	Статус
Report	Доклад
Copy that	Прието
Roger	Прието
Negative	Отрицателно
Confirmed	Потвърдено
Proceed	Продължи
Warning	Предупреждение
Alert	Тревога
Danger	Опасност
Critical	Критично
Failure	Неуспех
Error	Грешка
Unknown	Неизвестно
Detected	Засечен
Hostile	Враждебен
Ally	Съюзник
Civilian	Цивилен
Suspect	Заподозрян
Perp	Извършител
Criminal	Престъпник
Felon	Престъпник
Prisoner	Затворник
Inmate	Затворник
Guard	Охранител
Watchman	Пазач
Patrol	Патрул
Enforcer	Бияч
Henchman	Привърженик
Thug	Бандит
Boss	Бос
Leader	Лидер
Sniper	Снайперист
Gunman	Стрелец
Heavy	Здравеняк
Shield	Щит
The Cicero family   Семейство Сисеро
the Ciceros	хората на Сисеро / Сисеро
Cicero's men    хората на Сисеро
The Maria   „Мария“
